Data,Data1,D
0.000000e+00,-2.40e+01,
2.500000e+01,-2.00e+01,
5.000000e+01,-8.80e+00,
7.500000e+01,-1.20e+01,
1.000000e+02,-2.08e+01,
1.250000e+02,-2.24e+01,
1.500000e+02,-2.64e+01,
1.750000e+02,-2.72e+01,
2.000000e+02,-3.04e+01,
2.250000e+02,-3.12e+01,
2.500000e+02,-3.28e+01,
2.750000e+02,-3.36e+01,
3.000000e+02,-3.44e+01,
3.250000e+02,-3.52e+01,
3.500000e+02,-3.52e+01,
3.750000e+02,-3.68e+01,
4.000000e+02,-3.60e+01,
4.250000e+02,-3.76e+01,
4.500000e+02,-3.92e+01,
4.750000e+02,-3.92e+01,
5.000000e+02,-3.92e+01,
5.250000e+02,-4.00e+01,
5.500000e+02,-4.00e+01,
5.750000e+02,-4.08e+01,
6.000000e+02,-4.08e+01,
6.250000e+02,-4.08e+01,
6.500000e+02,-4.00e+01,
6.750000e+02,-4.40e+01,
7.000000e+02,-4.40e+01,
7.250000e+02,-4.80e+01,
7.500000e+02,-4.00e+01,
7.750000e+02,-4.16e+01,
8.000000e+02,-4.32e+01,
8.250000e+02,-4.32e+01,
8.500000e+02,-4.24e+01,
8.750000e+02,-4.40e+01,
9.000000e+02,-4.40e+01,
9.250000e+02,-4.48e+01,
9.500000e+02,-4.32e+01,
9.750000e+02,-4.40e+01,
1.000000e+03,-4.72e+01,
1.025000e+03,-4.48e+01,
1.050000e+03,-4.56e+01,
1.075000e+03,-4.48e+01,
1.100000e+03,-4.64e+01,
1.125000e+03,-4.72e+01,
1.150000e+03,-4.48e+01,
1.175000e+03,-4.72e+01,
1.200000e+03,-4.80e+01,
1.225000e+03,-4.72e+01,
1.250000e+03,-4.72e+01,
1.275000e+03,-4.72e+01,
1.300000e+03,-4.72e+01,
1.325000e+03,-4.72e+01,
1.350000e+03,-4.72e+01,
1.375000e+03,-4.80e+01,
1.400000e+03,-4.72e+01,
1.425000e+03,-4.80e+01,
1.450000e+03,-4.88e+01,
1.475000e+03,-4.96e+01,
1.500000e+03,-4.88e+01,
1.525000e+03,-4.88e+01,
1.550000e+03,-4.80e+01,
1.575000e+03,-5.04e+01,
1.600000e+03,-4.88e+01,
1.625000e+03,-4.96e+01,
1.650000e+03,-5.04e+01,
1.675000e+03,-4.88e+01,
1.700000e+03,-5.04e+01,
1.725000e+03,-4.96e+01,
1.750000e+03,-5.04e+01,
1.775000e+03,-5.12e+01,
1.800000e+03,-5.04e+01,
1.825000e+03,-4.96e+01,
1.850000e+03,-4.96e+01,
1.875000e+03,-5.04e+01,
1.900000e+03,-5.20e+01,
1.925000e+03,-5.20e+01,
1.950000e+03,-4.96e+01,
1.975000e+03,-5.12e+01,
2.000000e+03,-5.28e+01,
2.025000e+03,-5.20e+01,
2.050000e+03,-5.28e+01,
2.075000e+03,-5.04e+01,
2.100000e+03,-5.12e+01,
2.125000e+03,-5.12e+01,
2.150000e+03,-5.04e+01,
2.175000e+03,-4.96e+01,
2.200000e+03,-5.20e+01,
2.225000e+03,-5.28e+01,
2.250000e+03,-5.20e+01,
2.275000e+03,-5.28e+01,
2.300000e+03,-5.12e+01,
2.325000e+03,-5.28e+01,
2.350000e+03,-5.12e+01,
2.375000e+03,-5.36e+01,
2.400000e+03,-5.12e+01,
2.425000e+03,-5.44e+01,
2.450000e+03,-5.60e+01,
2.475000e+03,-5.20e+01,
2.500000e+03,-5.36e+01,
2.525000e+03,-5.28e+01,
2.550000e+03,-5.28e+01,
2.575000e+03,-5.36e+01,
2.600000e+03,-5.52e+01,
2.625000e+03,-5.68e+01,
2.650000e+03,-5.20e+01,
2.675000e+03,-5.36e+01,
2.700000e+03,-5.20e+01,
2.725000e+03,-5.28e+01,
2.750000e+03,-5.20e+01,
